,ja,ko,ta,te,hu,fi,zh,my,ar,he,cy,ga,hi,ne,en,de,hy,el,fr,pms,ru,sv
ja,1.0,1.1553603876438523,1.0605976757055893,1.1128821531225503,1.48379970544919,1.0156332803391626,1.134648868253047,1.4330153463293238,1.0242460082791247,1.289611360239163,1.1434068753206772,1.2306655887900835,1.6996951219512195,1.8345454545454547,1.4049125418682546,1.4803685897435899,1.3981027150801437,1.005384238864415,1.3210493441599,1.0502547882621682,1.0716409840497432,1.1953719976567079
ko,0.98973954222573,1.0,0.8851687880464859,0.9905931539064542,1.0007363770250368,0.7837837837837838,0.9982588508415553,0.9693073413521359,0.7069781194559432,1.249252615844544,1.115956900974859,1.1878199946106172,1.671747967479675,1.7642424242424244,1.3416449572013398,1.433092948717949,1.3438011122015046,0.9654919236417033,1.2757651467832605,1.0358460727464418,1.0719113273857799,1.1701816051552432
ta,1.0397263877926861,1.1069049061175045,1.0,1.107917428795401,1.4005891016200294,0.958399576046635,1.103598374927452,1.3708004977187889,0.9651094027202839,1.2556053811659194,1.1221139045664443,1.1918620317973594,0.9303861788617886,1.0278787878787878,0.9806475623371791,1.059294871794872,0.817468105986261,0.948604992657856,1.283572767020612,1.0237216657880863,1.0437956204379562,0.9730521382542473
te,1.054722441462773,1.1196244700181708,1.0088544548976204,1.0,1.364138438880707,0.9499205087440381,1.0850261172373767,1.332227291580257,0.7069781194559432,1.2485052316890881,1.0938943047716778,1.1708434384263002,1.5132113821138211,1.5642424242424242,1.3587644212876815,1.40625,0.9263984298331697,0.9544787077826725,1.2720174890693317,1.0247759620453347,1.0164909434982428,1.1379613356766258
hu,0.9965798474085767,1.0581465778316173,0.8514111787493082,1.0459890253462243,1.0,0.7543720190779014,1.0969239698200812,0.9730402322687681,0.8843879361324659,1.1905829596412556,1.0028219599794768,1.1255726219347886,1.3927845528455285,1.0096969696969695,0.9806475623371791,1.389022435897436,1.1537455021262675,0.719285364659814,0.9784509681449095,0.9894570374275171,0.9805352798053528,0.9967779730521383
fi,1.0555117074454092,1.077831617201696,1.023519645821804,1.1045205121505097,1.0007363770250368,1.0,1.1166569936157862,1.4122770634591457,0.7202838557066825,1.289611360239163,1.0028219599794768,0.9881433575855566,1.6021341463414636,1.7145454545454544,0.9791589132861928,1.5120192307692308,1.3346418056918545,0.9348996573666177,0.9784509681449095,1.041293270075558,0.829683698296837,0.9967779730521383
zh,1.0794527755853722,1.153846153846154,1.041781959048146,1.118369480010452,1.4653902798232696,1.0076841547429782,1.0,0.9693073413521359,0.9934949733885275,1.366218236173393,1.146228835300154,1.2196173538129884,1.6747967479674797,1.8436363636363637,1.410494975809453,1.499599358974359,0.817468105986261,0.9970631424375916,1.3210493441599,1.0811808118081179,0.829683698296837,1.1725248974809608
my,1.0197316495659037,1.0121138703815868,0.9120088544548977,1.0229945126731121,1.2702503681885124,0.7840487546369899,1.0531050493325593,1.0,0.718214074512123,1.1371449925261585,1.0436121087737302,0.9889517650229049,1.3739837398373982,1.024848484848485,0.9806475623371791,1.2423878205128205,0.9263984298331697,0.8365149290259422,0.9606495940037476,1.0065014935863643,0.9591781562584483,1.0708845928529585
ar,1.0557747961062878,1.112961841308298,0.8392363032650803,1.1071335249542724,1.4363033873343152,1.0005299417064122,0.9982588508415553,0.9693073413521359,1.0,1.2619581464872944,1.1223704463827604,1.014012395580706,1.6626016260162602,1.0351515151515152,1.382582806103461,1.059695512820513,1.353287536800785,0.9718551150269211,0.9784509681449095,1.0400632577754347,0.8175182481751825,1.106912712360867
he,1.0457774269928968,1.0956995760145367,0.8395130049806309,0.9892866475045728,1.3744477172312224,0.7543720190779014,1.090539756239118,0.9730402322687681,0.9506209343583678,1.0,1.0974858902001028,1.1603341417407707,1.5071138211382111,1.6212121212121213,1.2966133234090063,1.3818108974358974,1.2679097154072618,0.9366128242780224,0.9784509681449095,1.0270602706027059,0.8175182481751825,1.1373755125951963
cy,1.0570902394106814,1.0908540278619019,1.021306032097399,1.0875359289260518,1.3935935198821796,0.976682564917859,1.1041787579802669,1.3566984653670675,0.9520993494973389,1.248878923766816,1.0,1.167070870385341,1.4989837398373982,1.6612121212121211,1.365091179754373,1.423878205128205,1.279031730454694,0.9468918257464513,1.2798251093066835,1.0318046037603232,1.0421735604217357,1.1818980667838315
ga,1.0376216785056565,1.0814657783161719,1.0,1.0841390122811603,1.4256259204712811,0.9636989931107578,1.1001160766105629,1.3521360431356284,0.7069781194559432,1.0691330343796712,0.9997434581836839,1.0,0.9324186991869918,1.0296969696969696,0.9791589132861928,1.0588942307692308,0.8177952240758913,0.719285364659814,0.9606495940037476,0.9954313828852573,1.0273046769397134,1.1581722319859402
hi,0.9826361483820047,1.0178679588128408,0.844770337576093,1.0462503266266006,1.258100147275405,0.7543720190779014,0.9982588508415553,0.9693073413521359,0.7185097575399172,1.0104633781763825,0.9997434581836839,0.9889517650229049,1.0,1.0096969696969695,0.9635280982508374,0.9911858974358975,0.9273797841020607,0.6940773372491434,1.1470955652717052,1.0042171850289932,0.8185996215193295,0.9967779730521383
ne,1.0068403051828465,1.0072683222289522,0.8826784726065302,1.035275672850797,1.165316642120766,0.8415474297827239,0.9982588508415553,0.9738697635835752,0.780307510348906,1.0881913303437967,1.0215495125705492,1.066019940716788,1.2703252032520325,1.0,1.1350949013770004,1.1822916666666665,0.9666339548577035,0.7679882525697503,1.066208619612742,1.00298717272887,0.8715869153825359,1.0550673696543644
en,1.0002630886608788,1.0072683222289522,0.8851687880464859,0.9898092500653254,1.0578055964653903,0.9279279279279279,0.9982588508415553,0.9684778100373289,0.7185097575399172,1.0104633781763825,1.0,1.1239558070600917,0.9308943089430894,1.4703030303030302,1.0,1.0048076923076925,1.18351324828263,0.6930983847283406,0.9525296689569019,1.002460024600246,0.9172749391727494,1.1077914469830112
de,1.0084188371481189,1.0681405208964265,0.9551743220807969,0.9892866475045728,1.0003681885125184,0.7543720190779014,0.9982588508415553,0.9755288262131895,0.7185097575399172,1.0691330343796712,0.9997434581836839,0.9889517650229049,0.9308943089430894,1.009090909090909,0.9635280982508374,1.0,0.9263984298331697,0.719285364659814,0.9606495940037476,1.012827271129854,0.829683698296837,1.121851200937317
hy,1.037095501183899,1.0169594185342217,0.9222468179302711,0.9790958975698981,1.2886597938144329,0.9014308426073132,1.1099825885084156,0.9946080464537537,0.7075694855115316,1.0112107623318385,0.9630579784504875,1.091350040420372,0.9308943089430894,1.009090909090909,0.9806475623371791,0.9911858974358975,1.0,0.8543808125305923,1.1383510306058713,1.0117729748726056,0.9167342525006759,1.0579964850615116
el,1.1268087345435411,1.0838885523924895,0.9975096845600442,0.9905931539064542,1.0007363770250368,0.9552199258081611,1.0011607661056297,0.9958523434259643,0.9491425192193969,1.0414798206278026,1.124679322729605,1.199407167879278,0.9303861788617886,1.7793939393939395,1.375883885374023,1.405448717948718,0.9263984298331697,1.0,0.9525296689569019,0.9942013705851342,1.0251419302514193,1.1312243702401874
fr,1.0202578268876612,1.0708661417322836,0.9809075816270061,1.073425659785733,1.0114138438880707,0.990990990990991,1.1244921648287869,0.9581086686022398,0.7276759314015376,1.2182361733931242,1.0020523345305286,1.1492859067636756,1.4847560975609757,1.0187878787878788,0.9728321548195014,1.3088942307692308,1.2482826300294405,1.0044052863436121,1.0,1.0256545422597083,1.1562584482292513,1.1101347393087289
pms,1.0,1.0021199273167778,0.8511344770337576,1.0901489417298145,1.0095729013254786,0.7543720190779014,1.0110272780034821,0.9693073413521359,0.7179183914843288,1.0119581464872944,0.9997434581836839,1.1924009700889249,0.9308943089430894,1.626060606060606,1.3319687383699292,1.4318910256410258,1.2741249591102388,0.9613313754282916,1.292317301686446,1.0,1.0319005136523385,1.1596367896895137
