,the_associative_plural,distance_contrasts_in_demonstratives,pronominal_and_adnominal_demonstratives,intensifiers_and_reflexive_pronouns,comitatives_and_instrumentals,ordinal_numerals,distributive_numerals,perfective/imperfective_aspect,the_past_tense,the_future_tense,the_perfect,semantic_distinctions_of_evidentiality,coding_of_evidentiality,hand_and_arm,finger_and_hand,tea,prefixing_vs._suffixing_in_inflectional_morphology,definite_articles,position_of_case_affixes,position_of_pronominal_possessive_affixes,"order_of_subject,_object_and_verb",order_of_subject_and_verb,order_of_object_and_verb,"order_of_object,_oblique,_and_verb",order_of_adposition_and_noun_phrase,order_of_genitive_and_noun,order_of_adjective_and_noun,order_of_demonstrative_and_noun,order_of_numeral_and_noun,order_of_degree_word_and_adjective,position_of_polar_question_particles,order_of_adverbial_subordinator_and_clause,relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase,relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun,polar_questions,comparative_constructions,postverbal_negative_morphemes,verb-initial_with_clause-final_negative,"position_of_negative_word_with_respect_to_subject,_object,_and_verb",verb-initial_with_preverbal_negative,reduplication,coding_of_nominal_plurality,indefinite_articles,position_of_tense-aspect_affixes,order_of_relative_clause_and_noun,position_of_interrogative_phrases_in_content_questions,relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun,expression_of_pronominal_subjects,negative_morphemes,postnominal_relative_clauses,sovneg_order,sonegv_order,multiple_negative_constructions_in_sov_languages,preverbal_negative_morphemes,order_of_negative_morpheme_and_verb,the_position_of_negative_morphemes_in_sov_languages,minor_morphological_means_of_signaling_negation,consonant_inventories,vowel_quality_inventories,consonant-vowel_ratio,voicing_in_plosives_and_fricatives,voicing_and_gaps_in_plosive_systems,uvular_consonants,glottalized_consonants,lateral_consonants,the_velar_nasal,vowel_nasalization,front_rounded_vowels,syllable_structure,tone,absence_of_common_consonants,presence_of_uncommon_consonants,fusion_of_selected_inflectional_formatives,exponence_of_selected_inflectional_formatives,inflectional_synthesis_of_the_verb,locus_of_marking_in_the_clause,locus_of_marking_in_possessive_noun_phrases,locus_of_marking:_whole-language_typology,case_syncretism,syncretism_in_verbal_person/number_marking,number_of_genders,sex-based_and_non-sex-based_gender_systems,systems_of_gender_assignment,plurality_in_independent_personal_pronouns,inclusive/exclusive_distinction_in_independent_pronouns,inclusive/exclusive_distinction_in_verbal_inflection,third_person_pronouns_and_demonstratives,gender_distinctions_in_independent_personal_pronouns,politeness_distinctions_in_pronouns,person_marking_on_adpositions,number_of_cases,asymmetrical_case-marking,numeral_classifiers,conjunctions_and_universal_quantifiers,obligatory_possessive_inflection,possessive_classification,"genitives,_adjectives_and_relative_clauses",adjectives_without_nouns,action_nominal_constructions,noun_phrase_conjunction,the_morphological_imperative,the_prohibitive,imperative-hortative_systems,the_optative,situational_possibility,epistemic_possibility,overlap_between_situational_and_epistemic_modal_marking,suppletion_according_to_tense_and_aspect,verbal_number_and_suppletion,alignment_of_case_marking_of_full_noun_phrases,alignment_of_case_marking_of_pronouns,alignment_of_verbal_person_marking,verbal_person_marking,third_person_zero_of_verbal_person_marking,order_of_person_markers_on_the_verb,ditransitive_constructions:_the_verb_'give',reciprocal_constructions,passive_constructions,antipassive_constructions,applicative_constructions,periphrastic_causative_constructions,nonperiphrastic_causative_constructions,symmetric_and_asymmetric_standard_negation,subtypes_of_asymmetric_standard_negation,negative_indefinite_pronouns_and_predicate_negation,predicative_possession,predicative_adjectives,nominal_and_locational_predication,zero_copula_for_predicate_nominals,relativization_on_subjects,relativization_on_obliques,'want'_complement_subjects,numeral_bases,m-t_pronouns,n-m_pronouns,prenominal_relative_clauses,negsov_order,obligatory_double_negation_in_sov_languages,obligatory_double_negation,position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb,snegov_order,m_in_second_person_singular,m_in_first_person_singular,other_roles_of_applied_objects,zero_marking_of_a_and_p_arguments,exponence_of_tense-aspect-mood_inflection,productivity_of_the_antipassive_construction,number_of_possessive_nouns,suppletion_in_imperatives_and_hortatives,fixed_stress_locations,weight-sensitive_stress,weight_factors_in_weight-sensitive_stress_systems,rhythm_types,svnego_order,snegvo_order,optional_double_negation_in_svo_languages,svoneg_order,the_position_of_negative_morphemes_in_svo_languages,optional_double_negation,negsvo_order,para-linguistic_usages_of_clicks,multiple_negative_constructions_in_svo_languages,occurrence_of_nominal_plurality,indefinite_pronouns,"languages_with_two_dominant_orders_of_subject,_object,_and_verb",nominal_and_verbal_conjunction,purpose_clauses,'when'_clauses,reason_clauses,utterance_complement_clauses,number_of_non-derived_basic_colour_categories,number_of_basic_colour_categories,green_and_blue,red_and_yellow,languages_with_different_word_order_in_negative_clauses,internally-headed_relative_clauses,genus,family
en,4.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,9.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,3.0,4.0,4.0,4.0,-1.0,2.0,-1.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,6.0,6.0,6.0,1.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,8.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,1.0,2.0,5.0,2.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,1.0,7.0,1.0,-1.0,4.0,2.0,-1.0,4.0,2.0,-1.0,6.0,2.0,-1.0,1.0,2.0,2.0,2.0,1.0,7.0,7.0,1.0,1.0,-1.0,-1.0,16,9
de,3.0,1.0,1.0,2.0,1.0,6.0,5.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,7.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,5.0,4.0,-1.0,1.0,-1.0,16.0,-1.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,11.0,1.0,9.0,1.0,6.0,15.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,6.0,1.0,-1.0,2.0,1.0,-1.0,-1.0,3.0,-1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,8.0,1.0,2.0,1.0,7.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,4.0,-1.0,-1.0,6.0,4.0,1.0,2.0,5.0,2.0,1.0,4.0,1.0,5.0,1.0,4.0,3.0,1.0,7.0,8.0,-1.0,1.0,13.0,-1.0,4.0,2.0,15.0,6.0,4.0,1.0,1.0,2.0,2.0,1.0,-1.0,7.0,7.0,1.0,1.0,-1.0,-1.0,16,9
fr,4.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,7.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,-1.0,19.0,-1.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,15.0,-1.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,5.0,3.0,2.0,2.0,2.0,3.0,6.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,8.0,-1.0,4.0,1.0,7.0,3.0,-1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,1.0,2.0,5.0,2.0,2.0,4.0,1.0,5.0,1.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,15.0,2.0,4.0,-1.0,-1.0,6.0,2.0,-1.0,1.0,3.0,2.0,2.0,2.0,7.0,7.0,1.0,1.0,-1.0,-1.0,9,9
ru,4.0,2.0,1.0,2.0,3.0,7.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0,2.0,-1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,-1.0,2.0,-1.0,3.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,4.0,4.0,2.0,5.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,6.0,3.0,3.0,-1.0,3.0,2.0,2.0,6.0,6.0,1.0,-1.0,2.0,1.0,6.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,8.0,2.0,2.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,1.0,2.0,5.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,6.0,5.0,7.0,1.0,-1.0,4.0,2.0,-1.0,4.0,2.0,-1.0,6.0,1.0,-1.0,1.0,2.0,2.0,2.0,1.0,7.0,7.0,1.0,1.0,-1.0,-1.0,24,9
es,4.0,3.0,1.0,2.0,-1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,9.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,4.0,4.0,4.0,-1.0,2.0,-1.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,-1.0,-1.0,2.0,1.0,-1.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,8.0,3.0,4.0,1.0,7.0,3.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,1.0,2.0,5.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,7.0,1.0,7.0,1.0,-1.0,4.0,2.0,-1.0,4.0,2.0,-1.0,6.0,3.0,-1.0,1.0,3.0,2.0,2.0,2.0,7.0,7.0,1.0,1.0,-1.0,-1.0,9,9
ja,1.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,6.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,20.0,-1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,-1.0,2.0,8.0,-1.0,4.0,4.0,6.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,8.0,3.0,1.0,1.0,2.0,4.0,2.0,7.0,2.0,3.0,3.0,2.0,1.0,2.0,7.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,-1.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,-1.0,-1.0,-1.0,4.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,2.0,1.0,-1.0,2.0,2.0,2.0,1.0,1.0,7.0,7.0,1.0,1.0,-1.0,6.0,12,1
it,4.0,2.0,1.0,2.0,1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,1.0,9.0,4.0,2.0,3.0,2.0,-1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,4.0,4.0,6.0,-1.0,4.0,-1.0,2.0,-1.0,3.0,2.0,2.0,2.0,1.0,-1.0,4.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,2.0,2.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,3.0,4.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,7.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,3.0,6.0,4.0,7.0,1.0,-1.0,4.0,2.0,-1.0,4.0,1.0,-1.0,6.0,2.0,-1.0,1.0,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9,9
zh,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18,5
po,1.0,-1.0,-1.0,2.0,2.0,7.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,3.0,2.0,5.0,1.0,-1.0,2.0,3.0,2.0,-1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,-1.0,4.0,-1.0,2.0,-1.0,-1.0,2.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,4.0,5.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,-1.0,-1.0,1.0,3.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,6.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,4.0,-1.0,2.0,1.0,1.0,3.0,1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,-1.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,5.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,6.0,8.0,1.0,1.0,7.0,1.0,-1.0,4.0,2.0,-1.0,4.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24,9
nl,4.0,-1.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,-1.0,-1.0,-1.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,9.0,4.0,7.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,-1.0,6.0,1.0,5.0,5.0,4.0,4.0,1.0,-1.0,16.0,-1.0,-1.0,2.0,1.0,2.0,1.0,-1.0,5.0,1.0,2.0,1.0,11.0,1.0,9.0,1.0,6.0,15.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,2.0,2.0,1.0,3.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,4.0,1.0,4.0,-1.0,2.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,5.0,2.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,1.0,4.0,3.0,1.0,7.0,8.0,-1.0,1.0,13.0,-1.0,4.0,2.0,15.0,6.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16,9
